Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After,Spot_945,Slope_CE,Slope_PE
2023-01-02,PE,09:45,18150,100.5,15:15,64.65,65,6532.5,2330.25,Settlement 15:15,102330.25,18145.5,3.3,-7.05
2023-01-03,PE,09:45,18200,83.05,15:15,47.55,65,5398.25,2307.5,Settlement 15:15,104637.75,18199.8496,2.7,-15.2
2023-01-04,CE,09:45,18150,76.45,15:15,23.85,65,4969.25,3419.0,Settlement 15:15,108056.75,18159.75,-33.85,18.6
2023-01-05,CE,09:45,18050,46.6,10:15,59.2,65,3029.0,-819.0,SL Hit (59.20 >= 55.92),107237.75,18040.3496,-15.65,10.65
2023-01-06,PE,09:45,18000,92.55,09:58,111.55,65,6015.75,-1235.0,SL Hit (111.55 >= 111.06),106002.75,18020.4492,-5.95,-6.9
2023-01-09,PE,09:45,18050,93.75,15:15,50.2,65,6093.75,2830.75,Settlement 15:15,108833.5,18027.5,28.4,-47.7
2023-01-10,CE,09:45,18000,97.0,15:15,50.85,65,6305.0,2999.75,Settlement 15:15,111833.25,18015.3008,-29.0,19.05
2023-01-11,CE,09:45,17850,106.25,10:01,127.65,65,6906.25,-1391.0,SL Hit (127.65 >= 127.50),110442.25,17869.8008,-8.2,13.6
2023-01-12,CE,09:45,17900,51.1,15:15,0.15,65,3321.5,3311.75,Settlement 15:15,113754.0,17896.3496,-12.85,-4.15
2023-01-13,CE,09:45,17800,131.15,12:09,157.55,65,8524.75,-1716.0,SL Hit (157.55 >= 157.38),112038.0,17780.6504,-38.85,10.1
2023-01-16,CE,09:45,17950,116.35,15:15,74.65,65,7562.75,2710.5,Settlement 15:15,114748.5,17970.75,-44.35,28.2
2023-01-17,PE,09:45,17950,76.45,15:15,32.45,65,4969.25,2860.0,Settlement 15:15,117608.5,17959.6992,30.35,-42.95
2023-01-18,PE,09:45,18100,68.9,15:15,27.05,65,4478.5,2720.25,Settlement 15:15,120328.75,18092.0508,15.85,-26.95
2023-01-19,CE,09:45,18100,41.15,10:59,53.3,65,2674.75,-789.75,SL Hit (53.30 >= 49.38),119539.0,18101.5996,-13.5,3.65
2023-01-20,CE,09:45,18050,120.1,10:11,147.8,65,7806.5,-1800.5,SL Hit (147.80 >= 144.12),117738.5,18070.8496,-19.55,3.6
2023-01-23,PE,09:45,18150,70.7,12:47,86.35,65,4595.5,-1017.25,SL Hit (86.35 >= 84.84),116721.25,18130.5996,8.5,-30.25
2023-01-24,PE,09:45,18200,47.15,09:53,64.7,65,3064.75,-1140.75,SL Hit (64.70 >= 56.58),115580.5,18188.9492,5.5,-15.7
2023-01-25,CE,09:45,18000,52.45,15:15,0.2,65,3409.25,3396.25,Settlement 15:15,118976.75,18015.0,-43.1,15.6
2023-01-27,CE,09:45,17750,213.8,15:15,125.9,65,13897.0,5713.5,Settlement 15:15,124690.25,17764.1504,-26.05,30.55
