Date,Leg,Entry_Time,Strike,Sell_Price,Exit_Time,Exit_Price,Qty,Premium_Collected,PnL,Reason,Capital_After
2023-01-02,PE,10:24,18150,90.2,10:29,92.45,65,5863.0,-146.25,SL Hit (18156.8 <= 18159.4),99853.75
2023-01-02,CE,10:31,18150,113.8,10:37,119.6,65,7397.0,-377.0,SL Hit (18179.1 >= 18171.4),99476.75
2023-01-02,PE,10:47,18150,83.6,14:15,92.3,65,5434.0,-565.5,SL Hit (18147.6 <= 18155.3),98911.25
2023-01-02,CE,11:28,18200,96.0,14:51,107.4,65,6240.0,-741.0,SL Hit (18201.7 >= 18198.2),98170.25
2023-01-02,PE,14:58,18200,91.75,15:16,83.75,65,5963.75,520.0,Settlement 15:15,98690.25
2023-01-03,PE,10:19,18250,93.5,12:12,102.8,65,6077.5,-604.5,SL Hit (18200.3 <= 18201.9),98085.75
2023-01-03,CE,11:26,18250,75.25,14:45,78.5,65,4891.25,-211.25,SL Hit (18241.2 >= 18240.8),97874.5
2023-01-03,CE,15:04,18250,74.3,15:16,75.55,65,4829.5,-81.25,Settlement 15:15,97793.25
2023-01-03,PE,13:26,18200,80.6,15:16,48.7,65,5239.0,2073.5,Settlement 15:15,99866.75
2023-01-04,PE,10:36,18150,62.45,11:03,78.3,65,4059.25,-1030.25,SL Hit (18120.8 <= 18127.0),98836.5
2023-01-04,PE,12:53,18050,60.9,14:48,60.65,65,3958.5,16.25,SL Hit (18041.5 <= 18042.3),98852.75
2023-01-04,CE,10:05,18150,63.3,15:16,24.2,65,4114.5,2541.5,Settlement 15:15,101394.25
2023-01-05,CE,10:11,18050,42.3,10:14,55.75,65,2749.5,-874.25,SL Hit (18063.2 >= 18054.4),100520.0
2023-01-05,PE,10:20,18050,40.6,11:32,60.3,65,2639.0,-1280.5,SL Hit (18011.3 <= 18015.1),99239.5
2023-01-05,PE,13:16,17950,34.65,13:19,44.35,65,2252.25,-630.5,SL Hit (17926.3 <= 17937.5),98609.0
2023-01-05,CE,10:37,18050,50.1,15:16,0.35,65,3256.5,3233.75,Settlement 15:15,101842.75
2023-01-05,PE,14:01,17950,37.75,15:16,0.1,65,2453.75,2447.25,Settlement 15:15,104290.0
2023-01-06,PE,10:57,17950,112.1,11:01,121.25,65,7286.5,-594.75,SL Hit (17916.3 <= 17920.5),103695.25
2023-01-06,PE,12:08,17950,108.2,12:13,115.6,65,7033.0,-481.0,SL Hit (17926.2 <= 17927.9),103214.25
2023-01-06,PE,13:51,17850,109.7,14:17,127.1,65,7130.5,-1131.0,SL Hit (17808.8 <= 17813.5),102083.25
2023-01-06,CE,10:11,17950,137.55,15:16,78.1,65,8940.75,3864.25,Settlement 15:15,105947.5
2023-01-09,PE,10:10,18050,74.8,13:46,96.85,65,4862.0,-1433.25,SL Hit (18013.7 <= 18020.2),104514.25
2023-01-09,CE,12:28,18100,102.3,15:16,93.55,65,6649.5,568.75,Settlement 15:15,105083.0
2023-01-09,PE,14:19,18050,73.55,15:16,49.7,65,4780.75,1550.25,Settlement 15:15,106633.25
2023-01-10,PE,10:23,18000,83.35,10:33,93.4,65,5417.75,-653.25,SL Hit (17973.6 <= 17979.1),105980.0
2023-01-10,PE,12:04,17950,81.1,12:41,92.9,65,5271.5,-767.0,SL Hit (17918.3 <= 17931.5),105213.0
2023-01-10,CE,10:03,18000,78.1,15:16,48.4,65,5076.5,1930.5,Settlement 15:15,107143.5
2023-01-10,PE,14:59,17900,76.4,15:16,66.65,65,4966.0,633.75,Settlement 15:15,107777.25
2023-01-11,PE,10:19,17950,71.65,10:56,106.4,65,4657.25,-2258.75,SL Hit (17890.0 <= 17894.7),105518.5
2023-01-11,CE,11:09,17900,85.0,12:00,96.75,65,5525.0,-763.75,SL Hit (17924.8 >= 17924.4),104754.75
2023-01-11,CE,12:18,17900,85.45,13:16,89.2,65,5554.25,-243.75,SL Hit (17926.6 >= 17926.0),104511.0
2023-01-11,PE,12:03,17900,61.75,14:05,80.8,65,4013.75,-1238.25,SL Hit (17872.4 <= 17881.7),103272.75
2023-01-11,CE,14:00,17900,74.0,14:58,91.85,65,4810.0,-1160.25,SL Hit (17936.1 >= 17922.7),102112.5
2023-01-11,PE,14:46,17900,54.25,15:16,62.75,65,3526.25,-552.5,Settlement 15:15,101560.0
2023-01-12,PE,11:40,17800,33.6,11:53,41.9,65,2184.0,-539.5,SL Hit (17795.8 <= 17797.3),101020.5
2023-01-12,PE,12:27,17850,48.7,13:25,60.05,65,3165.5,-737.75,SL Hit (17801.7 <= 17801.8),100282.75
2023-01-12,CE,10:13,17850,52.2,15:16,7.9,65,3393.0,2879.5,Settlement 15:15,103162.25
2023-01-12,PE,14:15,17800,14.0,15:16,0.15,65,910.0,900.25,Settlement 15:15,104062.5
2023-01-13,CE,10:09,17800,133.0,10:21,143.85,65,8645.0,-705.25,SL Hit (17808.3 >= 17808.3),103357.25
2023-01-13,CE,11:00,17800,147.0,11:09,153.8,65,9555.0,-442.0,SL Hit (17832.8 >= 17827.8),102915.25
2023-01-13,CE,11:34,17850,121.95,12:10,133.5,65,7926.75,-750.75,SL Hit (17848.4 >= 17838.2),102164.5
2023-01-13,PE,10:23,17800,116.3,15:16,47.8,65,7559.5,4452.5,Settlement 15:15,106617.0
2023-01-16,PE,12:40,17900,95.05,12:46,96.3,65,6178.25,-81.25,SL Hit (17892.1 <= 17892.1),106535.75
2023-01-16,PE,13:27,17950,101.0,13:44,114.25,65,6565.0,-861.25,SL Hit (17902.8 <= 17908.8),105674.5
2023-01-16,PE,14:35,17900,99.25,14:47,109.35,65,6451.25,-656.5,SL Hit (17862.6 <= 17862.7),105018.0
